experiment_id,train_hour,eval_hour,regime,n_train,n_eval,threshold,maha_mean_train,maha_mean_eval,maha_std_eval,maha_median_eval,pct_above_thr_train,pct_above_thr_eval,n_anomalous_eval,mahalanobis_ratio,recon_lstm_mean_train,recon_usad_mean_train,recon_tranad_mean_train,recon_lstm_mean_eval,recon_usad_mean_eval,recon_tranad_mean_eval,verdict
1,09:00-10:00,10:00-11:00,normal,355,355,93.91761353675953,31.344950292676767,547.2325999436337,244.67278743280542,505.1661590883923,5.070422535211268,100.0,355,17.458397439905514,88.35791666541301,83000682.5671045,158.22697778596267,79.98834609716711,12.77631965153654,0.16326565967059473,behavioral_drift
2,11:00-12:00,12:00-13:00,normal,355,355,59.39274559089289,30.96864717601996,559.5340151799586,355.8371257777867,440.5706745901118,5.070422535211268,100.0,355,18.06775775511512,95.39839616426279,0.029377319954965318,0.010658574284014987,78.2815527257785,0.029678610213835475,0.05689202911469718,behavioral_drift
3,13:00-14:00,14:00-15:00,attack,355,355,82.84653703371195,31.12645973376405,939.4951795990783,496.7685995934687,790.8007994167765,5.070422535211268,98.02816901408451,348,30.183168520767307,82.09808863787583,8732.11012126115,2.9089078692588166,99.25065546438728,9419.546268430899,0.14076737748904966,behavioral_drift
4,15:00-16:00,16:00-17:00,attack,355,361,83.72712191283742,31.249537112800695,411.5024130098755,335.9972017271982,255.54804537609175,5.070422535211268,89.47368421052632,323,13.16827226990548,86.4286525941231,252871.35579335387,4.044978404089703,78.65953396297888,9709.653006514023,0.09545624090508245,behavioral_drift
